,method,rank,feature,occurence,fidelity
0,ko_adv_ko,1,Age,0.09090909090909091,1.0
1,ko_adv_ko,1,Gender,0.47474747474747475,1.0
2,ko_adv_ko,1,HasCoapplicant,0.010101010101010102,1.0
3,ko_adv_ko,1,LoanAmount,0.1414141414141414,1.0
4,ko_adv_ko,1,LoanDuration,0.04040404040404041,1.0
5,ko_adv_ko,1,LoanRateAsPercentOfIncome,0.20202020202020202,1.0
6,ko_adv_ko,1,Nothing shown,0.010101010101010102,1.0
7,ko_adv_ko,1,NumberOfLiableIndividuals,0.010101010101010102,1.0
8,ko_adv_ko,1,SavingsAccountBalance_geq_100,0.010101010101010102,1.0
9,ko_adv_ko,1,Unemployed,0.010101010101010102,1.0
0,ko_adv_ko,2,Age,0.09090909090909091,1.0
1,ko_adv_ko,2,CriticalAccountOrLoansElsewhere,0.04040404040404041,1.0
2,ko_adv_ko,2,Gender,0.1111111111111111,1.0
3,ko_adv_ko,2,JobClassIsSkilled,0.010101010101010102,1.0
4,ko_adv_ko,2,LoanAmount,0.1717171717171717,1.0
5,ko_adv_ko,2,LoanDuration,0.18181818181818182,1.0
6,ko_adv_ko,2,LoanRateAsPercentOfIncome,0.24242424242424243,1.0
7,ko_adv_ko,2,MissedPayments,0.010101010101010102,1.0
8,ko_adv_ko,2,NoCurrentLoan,0.010101010101010102,1.0
9,ko_adv_ko,2,Nothing shown,0.010101010101010102,1.0
10,ko_adv_ko,2,NumberOfOtherLoansAtBank,0.020202020202020204,1.0
11,ko_adv_ko,2,OtherLoansAtBank,0.030303030303030304,1.0
12,ko_adv_ko,2,SavingsAccountBalance_geq_100,0.020202020202020204,1.0
13,ko_adv_ko,2,Single,0.010101010101010102,1.0
14,ko_adv_ko,2,Unemployed,0.020202020202020204,1.0
15,ko_adv_ko,2,YearsAtCurrentHome,0.020202020202020204,1.0
16,ko_adv_ko,2,YearsAtCurrentJob_geq_4,0.020202020202020204,1.0
0,ko_adv_ko,3,Age,0.13131313131313133,1.0
1,ko_adv_ko,3,CheckingAccountBalance_geq_0,0.030303030303030304,1.0
2,ko_adv_ko,3,CriticalAccountOrLoansElsewhere,0.020202020202020204,1.0
3,ko_adv_ko,3,Gender,0.010101010101010102,1.0
4,ko_adv_ko,3,HasCoapplicant,0.030303030303030304,1.0
5,ko_adv_ko,3,HasTelephone,0.010101010101010102,1.0
6,ko_adv_ko,3,LoanAmount,0.15151515151515152,1.0
7,ko_adv_ko,3,LoanDuration,0.15151515151515152,1.0
8,ko_adv_ko,3,LoanRateAsPercentOfIncome,0.15151515151515152,1.0
9,ko_adv_ko,3,MissedPayments,0.020202020202020204,1.0
10,ko_adv_ko,3,NoCurrentLoan,0.020202020202020204,1.0
11,ko_adv_ko,3,Nothing shown,0.06060606060606061,1.0
12,ko_adv_ko,3,NumberOfLiableIndividuals,0.010101010101010102,1.0
13,ko_adv_ko,3,NumberOfOtherLoansAtBank,0.020202020202020204,1.0
14,ko_adv_ko,3,OtherLoansAtBank,0.04040404040404041,1.0
15,ko_adv_ko,3,SavingsAccountBalance_geq_100,0.030303030303030304,1.0
16,ko_adv_ko,3,SavingsAccountBalance_geq_500,0.020202020202020204,1.0
17,ko_adv_ko,3,Single,0.030303030303030304,1.0
18,ko_adv_ko,3,Unemployed,0.020202020202020204,1.0
19,ko_adv_ko,3,YearsAtCurrentHome,0.020202020202020204,1.0
20,ko_adv_ko,3,YearsAtCurrentJob_geq_4,0.04040404040404041,1.0
